$Always Disabled	Always Disabled
$Always Enabled	Always Enabled
$Arrow weight	Arrow weight
$Body	Body
$Body Cold Bonus	Body Cold Bonus
$Body Normal Bonus	Body Normal Bonus
$Body Warm Bonus	Body Warm Bonus
$Browse	Browse
$Cloak	Cloak
$Cloak Cold Bonus	Cloak Cold Bonus
$Cloak Normal Bonus	Cloak Normal Bonus
$Cloak Warm Bonus	Cloak Warm Bonus
$Cold	Cold
$Current Equipment	Current Equipment
$Default	Default
$DeleteFile	Delete
$Enable Cloak Warmth	Enable Cloak Warmth
$Enable Frostfall Keywords	Enable Frostfall Keywords
$Equipment	Equipment
$Error: Failed to delete profile.	Error: Failed to delete profile.
$Error: Failed to load profile.	Error: Failed to load profile.
$Error: Failed to save profile.	Error: Failed to save profile.
$Feet	Feet
$Feet Cold Bonus	Feet Cold Bonus
$Feet Normal Bonus	Feet Normal Bonus
$Feet Warm Bonus	Feet Warm Bonus
$Hands	Hands
$Hands Cold Bonus	Hands Cold Bonus
$Hands Normal Bonus	Hands Normal Bonus
$Hands Warm Bonus	Hands Warm Bonus
$Head	Head
$Head Cold Bonus	Head Cold Bonus
$Head Normal Bonus	Head Normal Bonus
$Head Warm Bonus	Head Warm Bonus
$HUD indicators	HUD indicators
$Inventory UI	Inventory UI
$Load	Load
$Lockpick weight	Lockpick weight
$New	New
$NoEquipment	None
$NormalWarmth	Normal
$Other	Other
$Profiles	Profiles
$Reset all	Reset all
$Reset all to default	Reset all to default
$Save	Save
$Scaling Factor	Scaling Factor
$Sleep to level up	Sleep to level up
$Survival Mode Core	Survival Mode Core
$Survival Mode Features	Survival Mode Features
$Survival Mode Patches	Survival Mode Patches
$This cannot be undone.	This cannot be undone.
$This will overwrite saved settings.	This will overwrite saved settings.
$This will replace all current settings.	This will replace all current settings.
$This will reset all equipment settings to default.	This will reset all equipment settings to default.
$Torch Bonus	Torch Bonus
$Warm	Warm
$Warmth Settings	Warmth Settings
